REGION;PROVINCIA;COMUNA;CIUDAD;CODIGO
REGION METROPOLITANA DE SANTIAGO;MAIPO;PAINE;SAN BERNARDO;RM0404
REGION METROPOLITANA DE SANTIAGO;MELIPILLA;MELIPILLA;MELIPILLA;RM0501
REGION METROPOLITANA DE SANTIAGO;MELIPILLA;ALHUE;MELIPILLA;RM0502
REGION METROPOLITANA DE SANTIAGO;MELIPILLA;CURACAVI;MELIPILLA;RM0503
REGION METROPOLITANA DE SANTIAGO;MELIPILLA;MARIA PINTO;MELIPILLA;RM0504
REGION METROPOLITANA DE SANTIAGO;MELIPILLA;SAN PEDRO;MELIPILLA;RM0505
REGION METROPOLITANA DE SANTIAGO;TALAGANTE;TALAGANTE;TALAGANTE;RM0601
REGION METROPOLITANA DE SANTIAGO;TALAGANTE;EL MONTE;TALAGANTE;RM0602
REGION METROPOLITANA DE SANTIAGO;TALAGANTE;ISLA DE MAIPO;TALAGANTE;RM0603
REGION METROPOLITANA DE SANTIAGO;TALAGANTE;PADRE HURTADO;TALAGANTE;RM0604
REGION METROPOLITANA DE SANTIAGO;TALAGANTE;PENAFLOR;TALAGANTE;RM0605
